"IpAddress","Quantity"
"63.160.106.254",7598
"70.35.196.129",862
"66.235.124.132",620
"98.233.224.22",553
"65.111.73.143",527
"65.216.225.34",522
"68.193.31.223",456
"69.250.29.214",452
"65.111.76.4",421
"74.107.117.142",413
"178.63.50.145",392
"198.99.32.5",383
"68.33.68.105",360
"76.235.204.95",350
"216.158.0.100",342
"69.140.136.210",320
"68.171.231.19",310
"98.233.201.249",291
"65.111.73.50",288
"70.22.1.76",284
"38.99.96.101",266
"207.255.179.186",266
"76.100.62.182",261
"70.109.65.17",257
"67.233.48.246",255
"74.103.36.138",234
"38.101.36.70",234
"71.166.13.119",229
"65.210.63.19",223
"71.200.74.24",222
"67.131.130.13",221
"148.177.0.100",221
"71.179.98.2",220
"71.246.64.171",220
"96.234.184.212",217
"173.75.170.208",217
"98.192.255.38",217
"71.166.66.230",217
"68.33.106.229",216
"69.140.200.85",216
"76.100.6.92",216
"72.81.204.114",215
"69.255.194.47",215
"71.213.200.174",214
"71.166.91.180",214
"108.3.243.249",213
"167.102.229.77",213
"209.135.35.83",212
"98.233.116.173",212
"98.237.108.170",212
"71.23.215.232",211
"174.49.223.2",211
"71.206.25.34",211
"66.188.251.201",211
"96.234.194.207",211
"68.55.78.56",211
"98.117.47.39",211
"68.33.173.118",211
"68.33.69.253",211
"76.100.3.20",211
"69.171.168.180",211
"76.100.102.36",211
"151.196.187.204",211
"76.100.77.20",211
"216.214.93.242",211
"69.255.118.66",210
"173.79.152.13",210
"68.50.70.66",210
"204.156.24.239",210
"98.233.134.69",210
"65.111.72.61",209
"67.83.46.37",207
"209.169.211.116",207
"96.234.234.230",207
"68.46.88.8",206
"207.59.178.38",206
"96.234.184.210",206
"68.188.135.34",206
"74.166.245.189",205
"98.154.156.142",205
"98.204.254.246",204
"206.205.249.5",203
"121.222.126.100",199
"74.193.105.214",198
"24.2.114.64",197
"71.173.99.79",197
"184.1.72.84",196
"70.251.108.196",196
"66.177.166.175",196
"208.138.16.216",196
"71.214.108.34",194
"76.104.247.146",194
"98.113.159.52",194
"63.80.166.126",194
"74.106.230.30",193
"166.137.136.177",193
"71.179.198.174",193
"202.173.160.70",192
"165.68.31.67",189
"68.55.81.98",188
"75.32.34.84",188
"71.202.248.14",188
"202.62.85.173",188
"71.105.50.245",188
"91.107.169.215",188
"86.172.181.195",188
"173.19.158.224",188
"173.79.132.59",188
"96.42.65.254",187
"98.196.98.250",187
"24.60.153.187",187
"98.231.83.243",187
"76.22.70.226",187
"69.244.234.80",187
"24.192.89.111",187
"99.63.187.85",187
"72.220.93.82",187
"98.199.217.2",187
"174.100.11.163",187
"98.215.249.143",187
"76.237.177.37",187
"108.12.90.23",187
"24.124.43.13",187
"67.251.17.107",187
"76.102.95.135",187
"66.75.14.127",187
"67.161.57.241",187
"69.181.200.144",187
"120.21.230.250",187
"74.185.69.83",187
"88.108.20.21",187
"74.140.16.89",187
"86.45.130.188",187
"67.86.14.150",187
"69.246.252.233",186
"99.248.204.48",186
"166.205.13.202",186
"98.15.189.69",186
"86.6.68.143",186
"24.112.146.81",185
"173.75.182.226",185
"68.112.117.203",185
"68.8.232.232",183
"74.99.65.139",183
"68.55.213.113",183
"98.218.65.39",183
"90.200.33.124",183
"70.230.165.127",182
"193.77.233.242",182
"12.159.172.179",181
"38.114.82.101",180
"69.140.26.161",178
"76.114.175.128",178
"67.195.111.167",177
"108.3.230.195",165
"66.249.71.200",164
"68.49.64.244",159
"112.205.86.128",156
"69.143.64.16",155
"108.25.35.62",154
"68.33.69.37",154
"173.13.250.17",152
"68.49.201.184",151
"96.241.162.43",150
"74.72.115.108",150
"173.13.234.17",150
"173.66.131.31",149
"69.88.47.81",147
"74.100.50.247",146
"69.250.187.230",144
"38.99.96.202",144
"68.55.221.152",143
"98.204.219.173",143
"76.116.48.198",142
"173.69.153.207",142
"173.52.108.223",142
"69.251.219.41",142
"75.93.51.193",142
"98.218.48.214",141
"206.53.153.134",141
"68.54.173.95",141
"68.49.141.208",141
"68.49.200.88",141
"76.26.130.127",141
"69.251.145.249",141
"173.64.90.216",141
"173.18.146.111",141
"96.234.187.24",141
"74.103.32.176",141
"69.136.238.189",141
"75.94.93.147",141
"122.171.8.113",141
"74.46.216.115",140
"69.251.144.10",140
"71.228.215.137",140
"68.227.123.190",140
"67.142.170.25",140
"69.243.13.145",139
"71.166.107.3",139
"98.116.89.159",139
"208.95.69.49",139
"71.166.76.219",139
"76.100.101.46",139
"71.166.122.122",139
"69.244.76.35",139
"69.62.129.42",139
"208.81.216.8",138
"205.215.251.46",138
"71.206.30.148",137
"184.59.145.11",136
"71.179.150.127",136
"222.154.152.15",136
"184.199.16.155",134
"69.140.185.241",133
"98.204.213.23",133
"68.33.26.237",132
"70.178.240.17",131
"69.251.56.87",131
"76.118.10.63",130
"76.123.7.105",130
"109.211.16.143",130
"173.64.74.9",130
"98.220.119.122",129
"162.129.251.25",129
"71.179.83.217",129
"68.49.114.37",128
"71.174.177.136",128
"68.13.65.80",128
"204.194.77.3",128
"91.93.47.170",128
"70.167.158.162",127
"24.35.83.56",127
"76.95.163.73",127
"76.84.120.195",127
"65.241.18.25",127
"79.179.121.56",127
"190.131.53.87",126
"75.192.246.196",125
"24.140.170.185",124
"108.3.210.248",123
"68.171.234.185",119
